"094年02月22日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","5,677,914","1,140","114,188,226","20.20","20.30","20.00","20.10"," ","0.00","20.10","1,065","20.20","233","15.58",
"1102","亞泥","7,957,226","998","169,223,203","21.50","21.70","21.10","21.20","-","0.40","21.20","101","21.30","421","7.07",
"1103","嘉泥","1,946,178","255","27,585,413","14.20","14.30","14.10","14.15","-","0.05","14.15","16","14.20","306","13.10",
"1104","環泥","683,385","144","8,392,677","12.35","12.40","12.20","12.30","-","0.05","12.30","25","12.35","84","9.69",
"1108","幸福","656,090","150","5,951,214","9.10","9.20","9.00","9.05","-","0.05","9.05","4","9.10","128","6.61",
"1109","信大","344,095","73","3,633,550","10.70","10.70","10.45","10.50","-","0.10","10.50","8","10.55","60","10.10",
"1110","東泥","653,089","114","5,360,828","8.30","8.30","8.15","8.20","-","0.05","8.15","221","8.20","154","10.93",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

