"095年11月28日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","27,134,960","4,085","513,444,715","18.15","19.20","18.15","19.20","+","1.25","19.20","20,277","--","0","27.04",
"1203","味王","1,793,421","504","24,276,894","12.70","13.65","12.60","13.65","+","0.85","13.65","280","--","0","",
"1210","大成","15,983,933","2,705","303,030,826","18.40","19.30","18.30","18.65","+","0.20","18.65","17","18.70","13","12.27",
"1213","大飲","45,400","32","617,658","13.70","13.85","13.50","13.85","-","0.10","13.50","4","13.85","1","",
"1215","卜蜂","9,549,543","1,715","79,665,095","7.98","8.47","7.96","8.45","+","0.44","8.45","23","8.46","6","15.65",
"1216","統一","26,253,229","6,235","817,363,388","30.30","31.45","30.30","31.30","+","1.15","31.30","184","31.35","164","44.08",
"1217","愛之味","3,271,838","660","24,185,798","7.24","7.45","7.24","7.45","+","0.17","7.44","16","7.45","63","21.29",
"1218","泰山","4,907,643","913","34,351,295","6.87","7.10","6.87","7.03","+","0.20","7.01","210","7.04","26","",
"1219","福壽","4,871,220","901","33,371,608","6.60","6.94","6.60","6.94","+","0.45","6.94","2,091","--","0","20.41",
"1220","台榮","48,000","20","364,420","7.58","7.61","7.56","7.60"," ","0.00","7.60","26","7.62","3","21.71",
"1225","福懋油","755,761","154","4,615,666","5.95","6.19","5.95","6.06","+","0.10","6.06","2","6.11","56","",
"1227","佳格","278,047","85","3,816,639","13.70","13.80","13.65","13.80","+","0.10","13.75","3","13.80","50","25.09",
"1229","聯華","10,211,749","1,826","185,085,875","17.80","18.35","17.80","17.95","+","0.15","17.95","21","18.00","66","11.15",
"1231","聯華食","195,323","61","1,793,938","9.14","9.21","9.14","9.20","+","0.08","9.15","37","9.20","25","92.00",
"1232","大統益","115,100","49","2,256,100","19.50","19.70","19.50","19.60","+","0.15","19.50","26","19.60","2","8.71",
"1233","天仁","12,352","18","352,244","28.45","28.60","28.45","28.55","+","0.10","28.55","1","28.60","1","19.83",
"1234","黑松","7,379,062","1,458","111,415,663","14.85","15.35","14.85","14.85"," ","0.00","14.85","234","14.90","10","92.81",
"1235","興泰","16,239","12","247,985","15.15","15.55","15.15","15.15"," ","0.00","14.90","5","15.45","1","1,515.00",
"1236","宏亞","242,890","96","3,758,656","15.25","15.60","15.25","15.60","+","0.30","15.55","11","15.60","11","13.22",
"1702","南僑","1,550,835","289","8,972,055","5.64","5.90","5.64","5.82","+","0.19","5.80","22","5.82","8","",
"1737","臺鹽","2,512,834","739","48,990,535","19.10","19.70","19.10","19.40","+","0.30","19.40","19","19.45","14","84.35",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

