"095年02月13日每日收盤行情(塑膠工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1301","台塑","5,618,866","1,795","288,906,029","51.80","51.80","51.00","51.00","-","0.80","51.00","1,215","51.10","1","6.94",
"1303","南亞","7,846,402","2,593","364,287,100","46.50","46.90","46.20","46.30","-","0.60","46.30","369","46.40","12","7.42",
"1304","台聚","3,054,892","626","28,480,505","9.48","9.50","9.23","9.28","-","0.24","9.27","2","9.28","9","8.44",
"1305","華夏","2,556,742","705","22,585,145","9.08","9.08","8.73","8.73","-","0.36","8.73","43","8.76","2","",
"1307","三芳","110,203","41","1,962,302","18.20","18.20","17.70","17.70","-","0.10","17.70","4","17.95","1","13.21",
"1308","亞聚","2,311,290","582","30,942,655","13.65","13.65","13.20","13.20","-","0.50","13.20","189","13.25","7","7.76",
"1309","台達化","944,250","232","7,759,325","8.44","8.44","8.05","8.15","-","0.29","8.15","29","8.20","101","",
"1310","台苯","2,985,340","870","47,008,106","15.90","16.00","15.60","15.60","-","0.40","15.60","119","15.65","1","",
"1311","福聚","2,349,572","633","45,361,703","19.80","19.95","19.00","19.00","-","0.80","18.95","1","19.00","692","8.52",
"1312","國喬","1,035,136","318","8,578,242","8.41","8.46","8.20","8.21","-","0.20","8.21","22","8.25","21","25.66",
"1312A","國喬特","0","0","0","--","--","--","--"," ","0.00","9.51","1","9.59","1","",
"1313","聯成","3,843,642","640","42,057,990","11.15","11.15","10.80","10.85","-","0.30","10.85","79","10.90","55","13.73",
"1314","中石化","4,136,496","787","33,597,008","8.22","8.22","8.06","8.06","-","0.09","8.06","117","8.08","3","6.61",
"1315","達新","54,566","34","631,350","11.70","11.75","11.50","11.50","-","0.30","11.50","15","11.60","12","8.46",
"1321","大洋","142,050","47","1,503,070","10.80","10.80","10.50","10.50"," ","0.00","10.50","9","10.60","22","7.61",
"1323","永裕","1,133","2","10,106","8.94","8.94","8.94","8.94","-","0.01","8.80","2","8.94","8","9.51",
"1324","地球","97,466","19","731,382","7.58","7.66","7.46","7.66","-","0.04","7.46","2","7.66","9","12.77",
"1325","恆大","1,059,000","206","15,143,700","14.30","14.30","14.30","14.30","+","0.90","14.30","6,518","--","0","",
"1326","台化","11,547,757","2,870","598,007,803","52.00","52.10","51.50","51.80","-","0.20","51.70","70","51.80","794","6.00",
"1715","萬洲","2,183,554","159","20,104,451","9.10","9.34","9.02","9.15","+","0.05","9.15","35","9.16","5","10.89",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

