"095年03月24日每日收盤行情(紡織纖維)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1402","遠東新","15,755,214","2,226","350,211,139","22.10","22.60","21.95","22.55","+","0.45","22.50","1,427","22.55","21","12.46",
"1409","新纖","966,103","187","5,010,740","5.15","5.23","5.15","5.23","+","0.02","5.22","2","5.23","47","29.06",
"1410","南染","103,764","34","457,580","4.50","4.50","4.36","4.45","-","0.07","4.45","6","4.49","3","",
"1413","宏洲","98,998","25","182,972","1.84","1.85","1.84","1.85","+","0.01","1.85","23","1.86","20","",
"1414","東和","20,863","21","56,810","2.72","2.74","2.72","2.74","-","0.02","2.74","6","2.76","5","",
"1417","嘉裕","369,282","87","1,761,467","4.77","4.80","4.74","4.80","+","0.03","4.77","17","4.80","168","",
"1418","東華","232,428","39","623,469","2.65","2.70","2.64","2.69","+","0.05","2.67","5","2.69","22","",
"1419","新紡","295,000","44","3,472,400","11.85","11.95","11.70","11.75"," ","0.00","11.70","158","11.75","50","21.76",
"1423","利華","194,435","39","674,888","3.45","3.49","3.45","3.47","-","0.01","3.47","1","3.48","11","",
"1434","福懋","1,024,875","328","16,849,650","16.40","16.55","16.40","16.45","+","0.05","16.45","17","16.55","11","10.48",
"1439","中和","42,658","14","340,744","8.00","8.00","7.90","8.00"," ","0.00","7.91","3","8.00","10","88.89",
"1440","南紡","970,931","118","5,597,901","5.76","5.83","5.75","5.76","-","0.01","5.76","17","5.78","5","115.20",
"1441","大東","190,020","24","356,186","1.89","1.89","1.82","1.87","-","0.02","1.86","20","1.87","16","",
"1443","立益","300","3","878","--","--","--","--"," ","0.00","2.81","8","2.95","2","",
"1444","力麗","1,035,142","181","3,055,867","2.95","2.98","2.91","2.93","-","0.02","2.93","13","2.94","143","",
"1445","大宇","74,676","18","262,470","3.49","3.55","3.40","3.55","+","0.06","3.50","5","3.55","4","",
"1446","宏和","286,124","37","720,578","2.42","2.59","2.42","2.59","+","0.14","2.52","8","2.54","5","",
"1447","力鵬","471,601","108","2,482,327","5.27","5.29","5.25","5.25","-","0.01","5.25","116","5.26","10","10.29",
"1449","佳和","2,509,586","268","8,972,400","3.65","3.78","3.46","3.55","-","0.11","3.55","63","3.56","22","",
"1451","年興","595,532","204","11,913,407","20.20","20.20","19.95","19.95","-","0.15","19.95","30","20.00","93","10.45",
"1452","宏益","16,360","15","81,226","4.95","5.00","4.95","5.00","+","0.09","4.96","1","5.05","5","",
"1453","大將","251,534","56","704,081","2.85","2.88","2.70","2.71","-","0.14","2.71","11","2.81","7","",
"1454","台富","13,137","8","61,449","4.69","4.69","4.65","4.66","-","0.04","4.65","1","4.69","21","",
"1455","集盛","853,924","143","4,923,844","5.81","5.82","5.71","5.82","+","0.01","5.80","4","5.82","24","20.07",
"1456","怡華","10,041","5","18,723","1.87","1.90","1.81","1.85","-","0.02","1.85","5","1.87","1","",
"1457","宜進","847,236","106","2,407,545","2.83","2.89","2.80","2.87","+","0.04","2.86","1","2.87","17","",
"1459","聯發","74,772","28","373,306","5.00","5.03","4.95","4.97"," ","0.00","4.97","11","4.99","10","",
"1460","宏遠","156,124","46","767,056","4.91","4.93","4.90","4.90"," ","0.00","4.90","22","4.92","18","245.00",
"1463","強盛","69,114","13","292,118","4.28","4.28","4.16","4.25","-","0.05","4.20","10","4.25","9","15.74",
"1464","得力","276,625","44","1,538,748","5.62","5.70","5.45","5.45","-","0.16","5.40","35","5.45","18","",
"1465","偉全","103,262","42","867,822","8.32","8.60","8.25","8.59","+","0.29","8.50","3","8.59","3","11.77",
"1466","聚隆","124,999","24","461,764","3.67","3.70","3.67","3.68","-","0.02","3.68","8","3.70","5","",
"1467","南緯","240,619","66","2,206,430","8.71","9.49","8.71","9.49","+","0.28","9.49","5","9.50","50","23.15",
"1468","昶和","133,000","33","1,708,350","12.85","13.00","12.70","12.95","+","0.10","12.80","5","12.95","10","",
"1469","理隆","0","0","0","--","--","--","--"," ","0.00","9.52","1","9.80","3","",
"1470","大統新創","22,100","12","84,270","3.67","3.89","3.67","3.89","+","0.22","3.89","1","3.90","2","",
"1472","三洋紡","53,000","13","214,930","4.10","4.10","4.05","4.05","-","0.05","4.01","5","4.09","4","",
"1473","台南","52,200","29","1,965,619","37.50","37.90","37.50","37.80","+","0.30","37.80","4","37.85","13","9.33",
"1474","弘裕","877,156","43","6,958,162","7.93","7.95","7.93","7.95","+","0.02","7.94","5","7.95","1","8.03",
"1475","本盟","0","0","0","--","--","--","--"," ","0.00","--","0","24.35","2","",
"1476","儒鴻","124,010","40","1,875,812","15.10","15.20","15.00","15.05","-","0.10","15.05","5","15.15","11","8.22",
"1477","聚陽","59,015","26","2,599,205","44.10","44.20","44.00","44.00","-","0.25","43.90","19","44.00","3","8.54",
"4414","如興","267,999","34","1,865,291","6.95","6.99","6.89","6.99"," ","0.00","6.90","4","6.99","30","20.56",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

