"094年11月24日每日收盤行情(電機機械)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1503","士電","850,089","244","19,750,807","23.50","23.55","23.10","23.10","-","0.30","23.10","40","23.15","11","17.50",
"1504","東元","2,410,664","420","22,022,212","9.10","9.18","9.08","9.11","-","0.01","9.11","105","9.12","41","47.95",
"1506","正道","12,478,000","113","99,894,590","7.85","8.40","7.80","8.00"," ","0.00","8.00","252","8.07","3","34.78",
"1507","永大","565,052","225","11,576,671","20.30","20.70","20.30","20.40","+","0.15","20.30","53","20.40","10","14.37",
"1513","中興電","5,571,000","1,807","117,901,482","20.60","21.70","20.60","20.65","+","0.10","20.60","37","20.80","7","10.59",
"1514","亞力","195,836","47","1,028,154","5.32","5.32","5.20","5.25","+","0.01","5.25","5","5.27","3","",
"1515","力山","171,000","29","1,384,600","8.10","8.10","8.08","8.10"," ","0.00","8.08","7","8.10","82","",
"1517","利奇","300,523","97","1,765,478","5.89","5.94","5.85","5.87"," ","0.00","5.86","6","5.87","12","",
"1519","華城","316,068","77","2,819,082","8.90","9.10","8.85","8.91"," ","0.00","8.87","3","8.91","9","49.50",
"1523","開億","136,256","76","3,182,681","23.50","23.70","23.00","23.05","-","0.25","23.10","2","23.30","1","9.98",
"1526","日馳","179,000","42","558,420","3.05","3.25","3.05","3.20","+","0.15","3.11","10","3.20","2","",
"1527","鑽全","360,270","203","26,448,580","74.00","74.00","73.00","73.30","-","0.70","73.10","4","73.30","3","12.10",
"1528","恩德","209,250","66","2,024,462","9.80","9.80","9.60","9.79","+","0.13","9.62","1","9.79","35","9.60",
"1529","樂士","237,000","78","1,275,110","5.24","5.46","5.17","5.46","+","0.35","5.46","1,082","--","0","26.00",
"1530","亞崴","252,343","93","12,428,838","49.20","50.10","48.95","49.60","+","0.40","49.60","1","49.90","2","9.47",
"1531","高林股","467,300","226","13,183,762","28.35","28.50","28.00","28.00","-","0.20","28.00","41","28.05","1","10.69",
"1532","勤美","460,386","166","9,070,325","19.80","19.80","19.60","19.75","+","0.15","19.60","54","19.75","59","10.79",
"1535","中宇","18,000","13","185,400","10.30","10.30","10.30","10.30","-","0.10","10.30","2","10.35","4","7.92",
"1537","廣隆","384,898","58","5,100,013","13.35","13.35","13.05","13.30","-","0.15","13.15","1","13.30","5","332.50",
"1538","正峰新","833,126","131","33,365,126","40.00","40.25","40.00","40.15","+","0.05","40.10","34","40.15","29","10.91",
"1539","巨庭","23,000","5","155,070","6.75","6.75","6.67","6.69","-","0.02","6.69","1","6.80","11","",
"1540","喬福","175,246","57","2,426,852","14.00","14.00","13.80","13.80","-","0.10","13.80","23","13.85","3","7.42",
"1541","錩泰","35,000","9","337,240","9.79","9.79","9.51","9.75","+","0.11","9.57","5","9.74","1","",
"1560","中砂","4,190,883","1,642","322,307,861","73.60","78.70","73.60","78.70","+","5.10","78.70","154","--","0","23.22",
"2371","大同","5,440,799","1,108","45,431,337","8.34","8.41","8.30","8.30","-","0.02","8.30","128","8.32","328","",
"4526","東台","1,153,281","361","40,361,713","34.60","35.60","34.60","35.10","+","0.60","35.05","2","35.10","20","8.07",
"4532","瑞智","954,734","256","20,927,324","22.35","22.35","21.75","22.00","-","0.05","21.90","10","22.00","22","6.55",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

