"094年02月01日每日收盤行情(電器電纜)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1601","台光","464,002","136","5,014,971","10.90","10.95","10.70","10.80","-","0.10","10.80","8","10.85","50","",
"1603","華電","261,000","93","1,475,000","5.85","5.85","5.50","5.60"," ","0.00","5.55","8","5.60","20","26.67",
"1604","聲寶","4,473,584","735","31,265,380","6.90","7.10","6.85","7.00","+","0.15","6.95","236","7.00","12","63.64",
"1605","華新","5,146,910","743","77,754,656","15.20","15.30","15.00","15.00","-","0.10","15.00","1,556","15.10","237","5.24",
"1606","歌林","3,220,048","515","23,744,704","7.35","7.50","7.30","7.30","-","0.05","7.30","140","7.35","61","28.08",
"1608","華榮","862,026","142","7,118,407","8.25","8.30","8.20","8.20","-","0.05","8.20","106","8.25","76","18.22",
"1609","大亞","1,012,264","205","11,681,634","11.55","11.60","11.45","11.45","-","0.10","11.45","50","11.50","2","10.32",
"1611","中電","376,351","88","3,490,257","9.40","9.40","9.25","9.30","-","0.05","9.25","26","9.30","33","5.20",
"1612","宏泰","237,000","52","2,263,600","9.60","9.65","9.50","9.55"," ","0.00","9.50","153","9.55","27","11.24",
"1613","台一","19,000","5","30,460","1.73","1.73","1.56","1.69","+","0.02","1.56","2","1.69","5","",
"1614","三洋電","253,054","67","4,303,596","17.30","17.30","16.70","16.80","+","0.10","16.80","36","17.00","21","10.70",
"1615","大山","59,000","28","742,650","12.85","12.85","12.55","12.55","-","0.40","12.30","1","12.55","5","23.68",
"1616","億泰","2,360,000","200","27,435,400","11.30","11.90","11.30","11.75","+","0.20","11.70","25","11.75","5","12.77",
"1617","榮星","30,309","13","356,696","11.95","11.95","11.75","11.80","+","0.10","11.75","1","11.90","3","14.57",
"1618","合機","948,627","258","10,912,122","11.50","11.60","11.40","11.40","-","0.10","11.40","52","11.45","10","5.59",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

