"095年07月05日每日收盤行情(化學生技醫療)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1701","中化","1,779,266","402","19,867,176","11.30","11.30","11.05","11.05","-","0.25","11.00","389","11.05","25","92.08",
"1704","榮化","750,183","205","17,702,388","23.70","23.80","23.45","23.45","-","0.25","23.45","6","23.50","50","7.95",
"1707","葡萄王","447,037","87","4,405,832","9.85","9.88","9.84","9.84","-","0.04","9.84","22","9.87","5","10.14",
"1708","東鹼","60,435","43","683,970","11.35","11.40","11.25","11.35"," ","0.00","11.30","2","11.35","7","13.35",
"1709","和益","4,475","6","54,346","12.10","12.30","12.10","12.30","+","0.10","12.30","1","12.35","1","11.83",
"1710","東聯","2,755,931","765","60,056,648","21.90","21.95","21.60","21.80","-","0.10","21.80","3","21.85","32","8.32",
"1711","永光","630,469","183","7,355,793","11.60","11.85","11.50","11.55","-","0.15","11.55","17","11.60","10","24.06",
"1712","興農","799,072","201","5,017,416","6.32","6.35","6.25","6.25","-","0.10","6.25","27","6.29","10","14.88",
"1713","國化","480,504","122","4,808,886","10.10","10.15","9.90","9.90","-","0.30","9.90","26","9.95","26","9.25",
"1714","和桐","606,161","149","3,814,591","6.33","6.34","6.25","6.25","-","0.09","6.25","23","6.26","1","",
"1716","永信","233,310","96","6,541,751","28.10","28.20","28.00","28.00","-","0.20","27.95","11","28.00","9","14.43",
"1717","長興","6,926,608","2,047","340,388,350","48.00","49.85","48.00","48.20"," ","0.00","48.20","92","48.40","2","16.68",
"1718","中纖","4,155,249","656","29,633,207","7.26","7.30","7.02","7.04","-","0.26","7.04","57","7.05","48","",
"1720","生達","263,051","68","4,486,767","17.20","17.20","17.00","17.05"," ","0.00","17.00","83","17.05","14","8.36",
"1721","三晃","446,000","101","2,609,020","5.70","5.93","5.56","5.93","+","0.38","5.90","1","5.92","1","98.83",
"1722","台肥","8,556,426","2,185","469,011,289","55.00","55.60","53.70","54.20","-","1.40","54.20","62","54.40","53","27.65",
"1723","中碳","275,300","111","13,704,374","49.60","49.90","49.60","49.85","+","0.25","49.80","1","49.85","3","9.39",
"1724","台硝","39,697","28","592,655","15.50","15.60","14.70","15.00","-","0.75","14.95","5","15.50","1","32.61",
"1725","元禎","10,000","9","180,900","18.30","18.30","18.00","18.00","-","0.30","18.00","1","18.50","2","10.53",
"1726","永記","181,000","62","7,483,650","41.40","41.65","41.15","41.50","+","0.10","41.40","8","41.50","1","9.06",
"1727","中華化","4,000","3","38,180","9.55","9.55","9.54","9.54","+","0.02","9.45","5","9.53","2","11.22",
"1729","必翔","35,761","33","2,151,327","61.00","61.00","59.90","59.90","-","0.80","59.90","4","60.40","2","19.83",
"1730","花仙子","125,549","27","1,439,481","11.50","11.50","11.40","11.50"," ","0.00","11.45","2","11.50","8","11.39",
"1731","美吾華","35,528","22","349,582","9.87","9.87","9.81","9.81","-","0.06","9.81","2","9.85","4","30.66",
"1732","毛寶","161,000","41","2,087,100","13.10","13.10","12.90","12.90","-","0.15","12.85","15","12.90","1","61.43",
"1733","五鼎","347,000","160","9,763,650","29.00","29.00","27.60","28.00","-","1.10","28.00","31","28.40","1","10.69",
"1734","杏輝","139,332","56","2,384,244","17.15","17.20","17.00","17.20","-","0.05","17.10","5","17.20","4","11.86",
"1735","日勝化","45,521","34","583,162","13.00","13.00","12.70","12.85","X","0.00","12.70","21","12.80","2","21.78",
"1736","喬山","206,000","136","36,653,500","178.00","178.50","176.50","178.50","+","0.50","178.50","5","179.00","1","17.43",
"4106","雃博","33,100","14","453,140","13.70","13.70","13.65","13.65","-","0.05","13.65","5","13.70","5","8.08",
"4119","旭富","1,150","2","20,080","17.50","17.50","17.50","17.50"," ","0.00","17.55","1","17.80","6","14.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

