"094年11月18日每日收盤行情(造紙工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1902","台紙","720,067","147","4,423,840","6.15","6.19","6.12","6.19","+","0.02","6.16","7","6.19","1","",
"1903","士紙","56,400","43","1,221,736","21.80","21.90","21.50","21.70"," ","0.00","21.70","3","21.85","2","",
"1904","正隆","1,410,700","322","10,935,809","7.76","7.78","7.72","7.78","+","0.02","7.75","28","7.78","55","25.10",
"1905","華紙","3,907,000","433","45,461,263","11.70","11.75","11.55","11.60","-","0.05","11.60","334","11.65","3","9.67",
"1906","寶隆","120,303","35","374,399","3.03","3.20","3.03","3.15","+","0.13","3.06","2","3.15","3","",
"1907","永豐餘","1,162,737","303","12,037,046","10.30","10.40","10.30","10.40","+","0.10","10.35","274","10.40","61","9.37",
"1909","榮成","337,091","85","2,396,856","7.10","7.14","7.09","7.14"," ","0.00","7.10","16","7.14","1","15.52",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

