"094年01月14日每日收盤行情(鋼鐵工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2002","中鋼","19,723,345","2,809","700,297,439","35.30","35.70","35.20","35.50","+","0.20","35.50","1,338","35.60","745","7.62",
"2002A","中鋼特","35,000","15","1,234,600","35.10","35.40","35.00","35.40","+","0.20","35.30","1","35.50","13","",
"2006","東和鋼鐵","22,250,966","4,897","579,461,491","25.60","26.40","25.60","26.10","+","0.80","26.10","1,214","26.20","422","6.89",
"2007","燁興","9,150,648","1,521","86,198,518","9.25","9.50","9.15","9.35","+","0.15","9.35","128","9.40","86","6.15",
"2008","高興昌","11,562,300","2,499","185,526,931","15.40","16.30","15.40","16.20","+","0.80","16.20","245","16.30","832","11.49",
"2009","第一銅","10,492,925","2,291","139,562,013","12.85","13.60","12.85","13.30","+","0.40","13.30","174","13.35","104","16.63",
"2010","春源","2,314,413","627","51,810,913","21.90","22.60","21.90","22.30","+","0.20","22.30","1","22.40","63","7.31",
"2012","春雨","1,849,000","342","22,544,700","12.00","12.25","12.00","12.10","+","0.10","12.10","38","12.15","30","13.01",
"2013","中鋼構","452,891","154","7,668,583","16.80","17.10","16.60","16.80"," ","0.00","16.80","84","17.00","21","20.00",
"2014","中鴻","40,312,147","6,924","857,262,366","20.80","21.60","20.60","21.40","+","0.70","21.40","222","21.50","1,862","18.61",
"2015","豐興","21,235,802","5,526","865,099,338","40.00","41.50","39.80","41.10","+","1.70","41.00","155","41.10","54","7.12",
"2017","官田鋼","3,723,001","654","41,185,860","10.80","11.20","10.80","11.10","+","0.30","11.05","77","11.10","89","8.10",
"2020","美亞","410,181","148","10,252,528","24.50","25.20","24.50","25.10","+","0.50","25.10","36","25.20","40","6.84",
"2022","聚亨","5,091,999","1,079","53,743,829","10.45","10.65","10.45","10.50","+","0.15","10.50","437","10.55","41","8.02",
"2023","燁輝","6,928,000","1,440","160,115,700","22.60","23.40","22.60","23.40","+","0.70","23.30","218","23.40","502","8.57",
"2024","志聯","927,702","245","6,333,692","6.75","6.90","6.75","6.85","+","0.15","6.85","8","6.90","102","",
"2025","千興","2,813,000","788","42,689,300","15.00","15.30","15.00","15.10","+","0.15","15.10","474","15.20","13","8.25",
"2027","大成鋼","3,026,918","932","70,285,811","22.90","23.40","22.70","23.30","+","0.40","23.30","81","23.40","118","7.40",
"2028","威致","6,641,104","1,209","60,087,046","9.00","9.20","8.85","9.05","+","0.35","9.05","89","9.10","47","7.30",
"2029","盛餘","1,745,310","513","75,430,005","42.20","43.50","42.20","43.50","+","1.00","43.40","2","43.50","102","9.20",
"2030","彰源","4,032,738","1,167","103,966,848","25.30","26.00","25.20","25.60","+","0.20","25.60","66","25.70","14","8.50",
"2031","新光鋼","1,606,294","532","78,759,108","48.50","49.30","48.50","49.20","+","0.60","49.00","14","49.20","3","7.22",
"2032","新鋼","272,329","138","6,080,298","22.00","22.50","22.00","22.20","+","0.20","22.20","11","22.40","50","10.14",
"2033","佳大","180,002","73","2,071,322","11.30","11.65","11.30","11.50","+","0.15","11.50","11","11.55","4","20.18",
"2034","允強","1,944,195","766","66,745,257","33.80","34.60","33.80","34.40","+","0.60","34.40","13","34.50","84","8.06",
"3004","豐達科","3,627,000","243","9,153,450","2.53","2.53","2.39","2.53","+","0.16","2.53","176","--","0","",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

