"095年05月24日每日收盤行情(橡膠工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2101","南港","4,891,140","2,206","293,093,968","59.30","61.20","58.80","60.50","+","1.90","60.40","1","60.50","39","11.08",
"2102","泰豐","13,088,062","3,094","309,121,615","23.40","24.00","23.20","23.80","+","0.80","23.80","79","23.85","25","10.21",
"2103","台橡","2,287,974","618","50,270,264","21.75","22.15","21.75","22.15","+","0.45","22.10","21","22.15","22","7.03",
"2104","國際中橡","19,050,029","4,636","501,534,866","26.30","26.90","25.30","26.30"," ","0.00","26.30","126","26.35","2","11.48",
"2105","正新","4,027,743","1,222","109,668,628","26.55","27.65","26.55","27.50","+","1.00","27.40","23","27.50","26","18.46",
"2106","建大","643,675","243","9,288,965","14.20","14.65","14.20","14.35","+","0.15","14.35","8","14.40","3","95.67",
"2107","厚生","20,930,099","3,783","330,636,098","15.90","16.20","15.30","15.70","+","0.05","15.70","158","15.75","96","120.77",
"2108","南帝","992,607","206","14,415,917","14.50","14.60","14.40","14.55","+","0.10","14.50","68","14.55","14","8.17",
"2109","華豐","127,375","52","991,797","7.81","7.85","7.70","7.75","-","0.06","7.75","3","7.76","3","",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

