"095年04月19日每日收盤行情(汽車工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1319","東陽","2,616,340","1,037","117,930,437","44.00","45.80","44.00","44.50","+","0.10","44.40","17","44.50","8","22.03",
"1512","瑞利","3,413,721","678","40,755,505","11.80","12.10","11.60","11.95","+","0.55","11.90","58","11.95","57","22.55",
"1521","大億","929,110","355","29,541,715","31.80","32.20","31.40","31.75","+","0.35","31.60","1","31.75","2","9.71",
"1522","堤維西","5,561,134","1,759","150,709,568","26.30","27.60","26.30","27.30","+","1.50","27.20","11","27.30","157","",
"1524","耿鼎","7,759,918","1,531","150,527,733","19.40","19.40","19.30","19.40","+","1.25","19.40","2,092","--","0","29.85",
"1525","江申","243,282","110","5,883,354","23.10","24.50","23.10","24.50","+","1.60","24.50","351","--","0","8.75",
"1533","車王電","2,833,588","741","73,029,129","25.50","26.40","25.50","25.70","+","0.70","25.70","2","25.80","5","856.67",
"1536","和大","724,356","304","32,657,202","45.00","45.30","44.80","44.80"," ","0.00","44.80","22","44.90","30","15.56",
"2201","裕隆","1,718,621","730","55,843,771","32.85","32.90","32.30","32.50","-","0.05","32.45","31","32.50","33","7.89",
"2204","中華","2,618,639","1,114","90,854,876","35.50","35.60","34.25","34.30","-","1.10","34.30","7","34.50","2","13.45",
"2206","三陽工業","3,484,460","593","43,454,707","12.60","12.70","12.35","12.40","+","0.05","12.40","25","12.45","133","7.61",
"2207","和泰車","560,921","318","39,468,208","70.50","71.00","69.50","69.80","-","0.70","69.70","1","70.00","15","8.29",
"2227","裕日車","20,000","11","2,259,000","113.00","113.50","112.50","113.00","+","1.00","113.00","35","113.50","7","10.70",
"2497","怡利電","411,127","133","8,080,847","20.40","20.40","19.50","19.50","-","0.50","19.50","36","19.65","1","",
"6605","帝寶","656,399","286","83,910,173","128.00","129.00","127.50","128.50","+","1.50","128.00","1","128.50","44","12.99",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

