"095年09月27日每日收盤行情(電子工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1471","首利","987,172","404","26,703,668","27.00","27.50","26.55","26.55","-","0.45","26.55","27","26.60","3","25.05",
"2301","光寶科","4,451,853","1,397","185,219,024","41.60","41.80","41.45","41.60","+","0.20","41.60","48","41.65","108","12.27",
"2302","麗正","1,231,600","191","4,149,774","3.31","3.42","3.31","3.40","+","0.11","3.38","13","3.40","14","85.00",
"2303","聯電","70,288,712","8,775","1,323,842,777","18.70","18.95","18.70","18.80","+","0.25","18.75","1,083","18.80","2,334","15.28",
"2305","全友","110,836","50","362,614","3.20","3.34","3.20","3.26","-","0.04","3.26","1","3.30","1","",
"2308","台達電","3,789,108","1,739","365,941,458","97.60","97.60","95.90","96.20","-","0.30","96.20","151","96.30","5","18.36",
"2311","日月光","17,343,361","3,092","571,683,084","33.30","33.35","32.80","33.00"," ","0.00","32.95","70","33.00","3","10.06",
"2312","金寶","4,256,659","979","48,286,000","11.30","11.40","11.25","11.40","+","0.15","11.35","38","11.40","710","13.10",
"2313","華通","9,430,357","1,853","137,327,804","14.70","14.70","14.45","14.45","-","0.05","14.45","167","14.50","52","17.41",
"2314","台揚","28,658,857","4,650","392,359,892","13.30","13.90","13.25","13.90","+","0.90","13.90","3,397","--","0","19.04",
"2315","神達","25,158,140","5,862","880,343,330","35.00","35.25","34.60","34.80","+","0.40","34.80","105","34.85","34","8.77",
"2316","楠梓電","5,126,147","1,607","57,115,667","11.25","11.35","11.00","11.10","-","0.15","11.05","191","11.10","1","15.21",
"2317","鴻海","13,284,663","4,228","2,714,573,589","205.50","206.50","202.50","203.00","-","1.00","203.00","534","203.50","11","21.44",
"2321","東訊","1,213,719","366","15,509,271","12.70","12.85","12.70","12.80","+","0.10","12.80","13","12.85","80","8.77",
"2323","中環","9,972,334","2,330","96,125,880","9.69","9.70","9.56","9.68","+","0.08","9.67","25","9.68","36","484.00",
"2324","仁寶","6,469,704","1,252","192,642,554","30.00","30.00","29.55","29.70","-","0.10","29.65","306","29.70","143","12.75",
"2325","矽品","9,134,922","2,012","371,717,198","40.90","40.90","40.50","40.70","+","0.20","40.70","278","40.75","22","9.36",
"2327","國巨","16,748,457","2,754","198,147,620","11.90","12.00","11.65","11.80","-","0.10","11.80","221","11.85","188","22.26",
"2328","廣宇","6,049,638","1,583","236,668,284","39.50","39.60","38.90","39.00","+","0.05","39.00","114","39.05","5","29.55",
"2329","華泰","1,441,009","271","4,495,070","3.20","3.20","3.08","3.13"," ","0.00","3.12","15","3.13","5","",
"2330","台積電","34,994,079","6,422","2,128,493,972","60.90","61.00","60.40","60.90","+","0.40","60.90","101","61.00","6,887","12.58",
"2331","精英","7,212,536","1,831","124,602,820","16.75","17.60","16.70","17.40","+","0.65","17.40","113","17.45","43","26.36",
"2332","友訊","1,979,491","641","69,129,019","35.20","35.20","34.70","34.85","-","0.10","34.85","1","34.90","44","11.66",
"2336","致伸","4,251,074","913","47,153,261","10.90","11.20","10.85","11.20","+","0.35","11.15","42","11.20","444","8.62",
"2337","旺宏","24,420,228","3,953","250,683,593","10.35","10.40","10.15","10.25","+","0.10","10.25","1,410","10.30","3,868","",
"2338","光罩","2,740,315","626","47,887,078","17.50","17.70","17.40","17.50"," ","0.00","17.45","31","17.50","51","8.41",
"2340","光磊","25,258,117","5,083","325,902,775","13.00","13.40","12.60","13.20","-","0.30","13.15","84","13.20","134","",
"2341","英群","6,017,221","1,537","57,499,411","9.95","9.95","9.36","9.38","-","0.38","9.38","70","9.39","10","",
"2342","茂矽","23,254,713","4,779","344,155,153","14.80","14.90","14.65","14.75","+","0.35","14.75","276","14.80","248","6.44",
"2344","華邦電","23,602,381","3,662","237,589,690","10.10","10.20","9.99","10.05","+","0.15","10.00","933","10.05","23","",
"2345","智邦","4,675,609","1,186","79,097,760","16.95","17.10","16.75","16.80","+","0.10","16.80","141","16.90","14","",
"2347","聯強","1,467,744","473","43,296,990","29.50","29.80","29.30","29.40","+","0.10","29.35","81","29.40","111","12.00",
"2349","錸德","12,657,832","3,205","99,742,320","7.86","7.95","7.80","7.94","+","0.10","7.94","9","7.95","236","",
"2350","環電","15,033,742","2,837","193,784,245","12.80","13.05","12.65","12.65","+","0.05","12.65","176","12.70","7","9.10",
"2351","順德","2,645,294","1,240","115,010,563","43.60","44.10","42.25","43.90","+","0.70","43.80","9","43.90","7","21.31",
"2352","佳世達","22,273,277","4,173","391,697,977","17.40","17.80","17.30","17.55","+","0.35","17.55","118","17.60","134","",
