"094年11月14日每日收盤行情(建材營造)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1316","上曜","409,000","58","616,240","1.49","1.56","1.43","1.54","+","0.07","1.53","18","1.54","7","",
"1436","華友聯","45,000","21","320,430","7.10","7.20","7.06","7.06","-","0.09","7.06","28","7.15","8","",
"1438","裕豐","0","0","0","--","--","--","--"," ","0.00","--","0","1.75","1","",
"1442","名軒","24,115","15","220,286","8.98","9.20","8.90","9.17","+","0.19","8.81","1","9.17","1","13.69",
"1805","寶徠","141,000","15","144,600","1.02","1.04","1.00","1.04","+","0.04","1.00","18","1.04","28","",
"1808","潤隆","1,000","1","14,100","14.10","14.10","14.10","14.10","+","0.65","13.15","1","13.85","2","4.41",
"2501","國建","2,944,571","802","31,529,897","10.65","10.90","10.60","10.65"," ","0.00","10.60","87","10.65","16","532.50",
"2504","國產","3,140,046","609","25,524,780","8.15","8.22","8.09","8.13"," ","0.00","8.13","218","8.14","20","9.80",
"2505","國揚","1,820,948","527","17,420,264","9.35","9.70","9.30","9.70","+","0.63","9.60","10","9.70","146","",
"2506","太設","167,493","31","243,039","1.48","1.50","1.41","1.47","-","0.04","1.42","42","1.47","2","",
"2509","全坤建","281,490","58","1,644,070","5.65","5.92","5.65","5.92","+","0.38","5.92","214","--","0","7.13",
"2511","太子","813,367","226","5,189,163","6.37","6.43","6.29","6.32","+","0.04","6.31","12","6.32","5","4.79",
"2515","中工","10,913,126","1,302","47,180,475","4.20","4.41","4.20","4.30","+","0.10","4.30","207","4.33","20","30.71",
"2516","新建","1,835,992","280","5,147,365","2.73","2.83","2.65","2.83","+","0.18","2.83","541","--","0","",
"2520","冠德","1,960,000","467","15,941,290","8.06","8.30","8.01","8.03","-","0.03","8.03","17","8.06","33","",
"2524","京城","410,000","180","10,433,370","25.40","25.80","25.00","25.10","-","0.25","25.10","1","25.30","11","5.19",
"2526","大陸","456,180","164","5,650,654","12.30","12.45","12.30","12.35","+","0.05","12.35","7","12.45","24","7.26",
"2527","宏璟","450,000","65","1,299,460","2.80","2.92","2.75","2.92","+","0.19","2.92","477","--","0","",
"2528","皇普","37,870","8","23,952","0.63","0.70","0.63","0.63","-","0.04","--","0","0.63","31","3.00",
"2530","華建","5,051,923","732","15,657,084","3.04","3.15","2.96","3.14","+","0.19","3.14","18","3.15","115","",
"2534","宏盛","4,205,940","1,110","81,515,683","19.55","19.80","19.00","19.00","-","0.55","19.00","99","19.10","102","111.76",
"2535","達欣工","1,083,514","323","7,640,507","6.90","7.19","6.90","6.95","+","0.06","6.95","10","7.00","2","",
"2536","宏普","1,023,000","227","19,451,100","19.05","19.10","18.90","19.00","-","0.05","19.00","40","19.05","20","5.35",
"2537","聯上發","94,000","19","143,820","1.53","1.53","1.53","1.53","+","0.10","1.53","18","--","0","",
"2538","基泰","272,000","60","1,682,670","6.13","6.25","6.10","6.16","+","0.06","6.16","23","6.18","5","",
"2539","櫻花建","0","0","0","--","--","--","--"," ","0.00","--","0","4.69","6","",
"2540","愛山林","13,000","4","20,030","1.54","1.55","1.54","1.55","+","0.10","1.55","9","--","0","",
"2542","興富發","1,904,522","557","43,610,747","23.20","23.20","22.70","22.85","-","0.35","22.80","41","22.85","47","12.98",
"2543","皇昌","146,000","39","1,051,440","7.25","7.25","7.10","7.23","+","0.13","7.11","1","7.23","15","5.65",
"2545","皇翔","279,100","130","6,458,943","23.10","23.45","23.00","23.10","+","0.05","23.10","1","23.20","12","4.78",
"2546","根基","227,008","69","1,350,801","5.80","6.06","5.74","6.02","+","0.35","6.02","9","6.03","2","10.95",
"2547","日勝生","1,593,000","431","18,412,500","11.35","11.75","11.20","11.75","+","0.75","11.70","6","11.75","128","37.90",
"2548","華固","1,290,307","574","43,294,772","33.50","33.80","33.30","33.30","-","0.15","33.30","2","33.45","21","5.07",
"2841","台開","348,000","48","1,638,210","4.60","4.92","4.56","4.92","+","0.32","4.92","58","--","0","1.68",
"3052","夆典","55,661","13","265,832","4.70","4.84","4.70","4.80"," ","0.00","4.80","22","4.84","7","",
"3056","總太","0","0","0","--","--","--","--"," ","0.00","5.27","1","5.50","3","",
"5515","建國","153,000","40","1,748,050","11.30","11.55","11.30","11.40","+","0.10","11.35","25","11.40","5","7.08",
"5525","順天","61,000","25","1,267,900","20.80","21.00","20.65","20.70","-","0.30","20.70","1","20.80","6","6.57",
"5531","鄉林","55,000","31","1,270,100","23.25","23.25","23.00","23.10","-","0.15","23.10","6","23.20","14","5.65",
"5534","長虹","500,325","239","15,254,496","30.55","30.75","30.25","30.30","-","0.25","30.25","7","30.30","5","5.71",
"9906","欣巴巴","76,000","10","111,040","1.45","1.49","1.41","1.41"," ","0.00","1.41","49","1.49","16","",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

