"095年11月08日每日收盤行情(航運業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2603","長榮","8,920,595","2,076","159,913,871","18.10","18.10","17.80","17.95","-","0.15","17.90","497","17.95","3","19.73",
"2605","新興","3,115,406","1,158","127,120,811","41.05","41.50","40.40","40.65","-","0.30","40.60","9","40.65","24","7.61",
"2606","裕民","3,672,840","1,171","155,165,891","42.55","42.95","41.85","42.10","-","0.45","42.10","15","42.15","1","7.94",
"2607","榮運","12,961,579","1,551","207,680,304","15.95","16.25","15.65","16.15","+","0.25","16.10","189","16.15","8","12.23",
"2608","嘉里大榮","5,153,037","921","90,552,833","17.20","17.90","17.00","17.55","+","0.35","17.50","54","17.55","17","585.00",
"2609","陽明","18,810,219","4,050","302,146,554","16.25","16.30","15.95","16.10","-","0.25","16.10","575","16.15","196","14.64",
"2610","華航","1,414,627","394","20,508,887","14.45","14.60","14.40","14.50","+","0.05","14.50","117","14.55","123","",
"2611","志信","1,609,006","298","20,561,175","12.75","12.95","12.60","12.75","+","0.10","12.70","57","12.75","27","51.00",
"2612","中航","2,974,201","1,059","112,728,176","38.30","38.60","37.50","37.70","+","0.30","37.65","5","37.70","29","8.40",
"2613","中櫃","212,266","74","2,587,792","12.30","12.30","12.10","12.10","-","0.10","12.10","38","12.20","61","5.15",
"2615","萬海","2,725,136","610","50,480,582","18.55","18.70","18.40","18.55"," ","0.00","18.55","77","18.60","70","8.75",
"2617","台航","3,293,880","627","73,260,983","22.65","22.80","21.90","22.20","-","0.40","22.10","1","22.20","48","8.77",
"2618","長榮航","6,610,403","942","85,089,582","12.90","13.00","12.80","12.85","-","0.05","12.85","412","12.90","466","",
"5607","遠雄港","57,200","32","836,610","14.85","14.85","14.60","14.60","-","0.20","14.60","63","14.70","7","",
"5608","四維航","3,406,996","1,018","100,463,169","29.80","30.25","29.00","29.35","-","0.40","29.35","4","29.40","1","6.44",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

