"094年10月05日每日收盤行情(觀光事業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2701","萬企","313,902","135","4,191,987","13.20","13.55","13.20","13.20","-","0.05","13.20","12","13.25","23","15.35",
"2702","華園","2,154,000","827","62,251,850","28.40","29.40","28.30","28.75","+","0.35","28.60","19","28.75","4","410.71",
"2704","國賓","9,235,938","1,458","218,174,948","23.15","24.00","23.10","23.55","+","0.40","23.55","65","23.60","279","35.68",
"2705","六福","1,529,067","586","25,575,857","16.50","16.90","16.50","16.50"," ","0.00","16.50","74","16.55","2","",
"2706","第一店","41,000","30","858,600","20.80","21.15","20.80","20.80"," ","0.00","20.80","3","20.90","1","13.33",
"2707","晶華","151,175","70","7,577,900","49.90","50.60","49.65","50.60","+","0.90","50.40","29","50.60","3","14.06",
"9943","好樂迪","41,001","24","921,272","22.15","22.70","22.05","22.65","+","0.15","22.60","3","22.70","2","9.36",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

