"095年03月24日每日收盤行情(金融保險)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2801","彰銀","9,534,336","1,663","166,629,714","17.30","17.60","17.30","17.50","+","0.25","17.50","538","17.55","617","",
"2807","竹商銀","6,203,475","820","99,080,071","16.10","16.10","15.90","15.95","-","0.05","15.90","800","15.95","106","7.86",
"2809","京城銀","314,903","67","3,144,281","9.99","10.00","9.96","10.00","+","0.01","9.99","3","10.00","48","13.89",
"2812","台中銀","447,084","108","2,861,098","6.39","6.45","6.35","6.45","+","0.05","6.45","68","6.46","63","",
"2816","旺旺保","203,970","74","1,059,993","5.24","5.24","5.17","5.20","+","0.01","5.20","40","5.22","1","12.68",
"2820","華票","1,245,488","231","12,913,454","10.35","10.40","10.35","10.35"," ","0.00","10.35","649","10.40","133","7.84",
"2823","中壽","3,601,466","692","34,858,948","9.45","9.91","9.45","9.88","+","0.35","9.88","5","9.89","118","",
"2827","中聯","1,637,877","243","4,300,183","2.61","2.65","2.61","2.62","+","0.01","2.62","183","2.64","2","",
"2831","中華銀","2,770,143","356","7,535,863","2.72","2.78","2.68","2.78","+","0.06","2.77","10","2.78","19","",
"2832","台產","270,440","76","4,135,985","15.25","15.35","15.25","15.30","+","0.05","15.25","115","15.30","1","9.22",
"2833","台壽保","174,015","124","6,940,738","40.00","40.00","39.50","39.90","+","0.10","39.90","4","40.00","18","9.68",
"2834","臺企銀","5,968,564","963","42,286,410","7.01","7.13","7.01","7.12","+","0.12","7.12","329","7.13","259","",
"2836","高雄銀","717,178","208","10,327,185","14.30","14.50","14.30","14.40","+","0.10","14.35","5","14.40","93","21.18",
"2837","萬泰銀","432,999","77","5,645,134","13.00","13.10","13.00","13.00"," ","0.00","13.00","1,151","13.05","5","",
"2838","聯邦銀","336,371","85","2,558,725","7.62","7.62","7.53","7.60","+","0.06","7.60","14","7.61","59","14.07",
"2845","遠東銀","1,159,042","335","14,014,804","12.15","12.15","12.00","12.15"," ","0.00","12.10","46","12.15","130","9.72",
"2847","大眾銀","3,568,981","397","24,661,328","6.90","6.97","6.86","6.91","+","0.01","6.91","637","6.93","63","13.29",
"2849","安泰銀","79,002","31","779,805","10.00","10.00","9.84","9.84","-","0.16","9.83","4","9.94","29","24.00",
"2850","新產","601,634","189","7,753,494","12.70","13.15","12.60","13.00","+","0.50","13.00","118","13.05","17","9.03",
"2851","中再保","84,000","12","966,750","11.55","11.55","11.50","11.55"," ","0.00","11.50","21","11.55","37","11.11",
"2852","第一保","129,664","48","1,347,006","10.35","10.40","10.30","10.40","+","0.15","10.30","44","10.40","16","33.55",
"2854","寶來證","2,286,442","449","28,203,449","12.35","12.40","12.25","12.35"," ","0.00","12.30","642","12.35","22","",
"2855","統一證","1,090,872","151","14,395,977","13.30","13.35","13.10","13.10","-","0.15","13.10","327","13.20","11","16.17",
"2856","元富證","3,051,270","461","37,405,742","12.25","12.35","12.20","12.30","+","0.05","12.25","3","12.30","14","24.60",
"2880","華南金","3,494,976","836","76,017,138","21.55","22.00","21.45","22.00","+","0.50","21.95","50","22.00","104","13.33",
"2881","富邦金","7,870,990","1,830","212,354,580","26.50","27.15","26.40","27.15","+","0.65","27.10","134","27.15","10","14.37",
"2882","國泰金","11,182,379","3,020","655,105,273","59.00","59.10","58.30","58.80","-","0.20","58.60","12","58.80","565","15.81",
"2883","開發金","21,781,798","3,019","254,945,744","11.60","11.90","11.50","11.90","+","0.35","11.85","151","11.90","483","14.17",
"2883A","開發特","0","0","0","--","--","--","--"," ","0.00","18.40","200","18.55","1","",
"2884","玉山金","2,956,707","908","60,797,329","20.60","20.75","20.25","20.40"," ","0.00","20.35","113","20.40","1,818","13.25",
"2885","元大金","2,069,109","372","22,755,480","10.85","11.15","10.85","11.10","+","0.10","11.10","32","11.15","84","44.40",
"2886","兆豐金","22,018,450","2,241","511,183,560","23.00","23.40","22.90","23.35","+","0.35","23.35","1,397","23.40","1,085","11.28",
"2887","台新金","16,961,613","2,123","297,205,284","17.40","17.70","17.40","17.45","+","0.10","17.45","124","17.50","424","8.51",
"2887C","新丙特","1,343,000","10","40,295,000","30.10","30.10","30.00","30.00","X","0.00","30.00","207","30.10","20","",
"2888","新光金","15,228,865","1,935","405,045,068","26.10","26.85","26.00","26.80","+","0.85","26.75","680","26.80","94","13.81",
"2889","國票金","2,140,543","391","22,255,566","10.30","10.50","10.30","10.50","+","0.20","10.45","73","10.50","321","7.55",
"2890","永豐金","19,382,657","1,675","304,041,662","15.45","16.10","15.40","16.10","+","0.60","15.95","305","16.10","50","28.75",
"2891","中信金","35,883,411","5,686","817,272,029","22.70","22.90","22.55","22.85","+","0.15","22.80","290","22.85","825","10.07",
"2891A","中信特","0","0","0","--","--","--","--"," ","0.00","42.85","1,400","42.90","1","",
"2892","第一金","5,342,216","982","121,835,696","22.75","22.95","22.70","22.90","+","0.20","22.85","113","22.90","242","8.77",
"5854","合庫","3,326,864","730","60,175,873","18.05","18.15","18.05","18.10"," ","0.00","18.10","87","18.15","54","50.28",
"6004","元京證","1,902,419","471","36,556,490","19.15","19.35","19.10","19.35","+","0.20","19.30","41","19.35","28","47.20",
"6005","群益證","699,310","129","8,125,203","11.60","11.70","11.50","11.70","+","0.10","11.60","1","11.70","234","20.17",
"6012","金鼎證","392,836","172","4,925,281","12.45","12.90","12.40","12.40","-","0.05","12.35","80","12.40","145","",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

