"094年02月22日每日收盤行情(貿易百貨)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1432","大魯閣","48,000","18","319,450","6.75","6.80","6.60","6.60","-","0.30","6.55","11","6.60","3","",
"2601","益航","1,289,108","396","11,179,367","8.85","8.85","8.50","8.55","-","0.20","8.55","15","8.60","11","",
"2614","東森","11,904,656","2,379","192,467,335","16.30","16.30","16.00","16.00","-","0.10","16.00","724","16.10","67","7.66",
"2901","欣欣","227,670","58","3,122,745","13.80","13.85","13.65","13.65","-","0.15","13.70","1","13.75","39","124.09",
"2903","遠百","1,396,734","278","23,391,236","16.80","16.90","16.60","16.80","+","0.10","16.70","86","16.80","56","9.55",
"2905","三商","1,095,406","259","11,321,114","10.50","10.50","10.20","10.25","-","0.25","10.25","44","10.30","66","12.20",
"2906","高林","806,000","114","8,780,300","10.85","11.00","10.85","10.95"," ","0.00","10.95","1","11.00","169","11.65",
"2908","特力","2,898,311","511","58,762,806","20.50","20.70","19.80","19.90","-","0.30","19.90","176","20.00","41","10.00",
"2910","統領","1,308","3","29,346","22.30","22.30","22.30","22.30","-","0.70","22.40","1","23.00","2","19.39",
"2911","麗嬰房","109,273","43","1,521,002","14.00","14.00","13.80","13.90","-","0.10","13.90","25","14.00","54","13.63",
"2912","統一超","799,370","386","41,519,378","52.00","52.00","51.50","52.00"," ","0.00","51.50","146","52.00","386","17.05",
"2913","農林","9,411,491","1,424","63,544,254","6.90","6.90","6.60","6.65","-","0.05","6.65","130","6.70","169","",
"2915","潤泰全","5,475,026","447","82,984,695","15.20","15.30","15.00","15.20","-","0.10","15.20","53","15.30","474","10.07",
"9801","力霸","717,028","125","2,592,637","3.68","3.71","3.58","3.58","-","0.09","3.58","43","3.61","15","",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

