"095年05月12日每日收盤行情(其他)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1107","建台","3,870,258","212","3,931,874","1.02","1.02","0.96","1.02","+","0.06","0.96","2","1.02","82","2.62",
"1416","廣豐","20,950,934","2,151","116,001,123","5.40","5.70","5.35","5.60","+","0.20","5.58","47","5.60","282","",
"1435","中福","795,011","252","9,430,470","11.80","12.40","11.35","11.35","-","0.65","11.35","6","11.80","9","103.18",
"1437","勤益控","16,218,185","1,861","378,282,990","22.00","23.50","22.00","23.50","+","1.50","23.50","225","--","0","",
"1516","川飛","270,020","75","1,009,752","3.73","3.78","3.70","3.76","-","0.03","3.71","52","3.77","7","376.00",
"1520","復盛","1,107,029","461","42,857,267","38.70","39.10","38.40","38.80"," ","0.00","38.75","1","38.90","2","11.55",
"2348","海悅","157,153","62","656,342","4.03","4.33","4.03","4.33"," ","0.00","4.32","5","4.33","13","5.93",
"2358","廷鑫","53,993","49","424,652","7.70","8.20","7.63","7.85","-","0.35","7.81","6","8.00","6","17.07",
"2443","億麗","1,186,885","249","6,037,811","5.09","5.14","5.05","5.07"," ","0.00","5.07","10","5.10","28","",
"2496","卓越","53,300","13","63,984","1.20","1.34","1.19","1.34","+","0.08","1.19","13","--","0","",
"2514","龍邦","8,669,038","529","154,320,834","17.50","18.00","17.45","18.00","+","0.20","17.95","107","18.00","107","",
"2904","匯僑","38,200","11","70,383","1.85","1.90","1.73","1.85","+","0.01","1.84","2","1.85","19","",
"3040","遠見","125,650","33","1,566,675","12.50","12.60","12.35","12.45","-","0.20","12.45","1","12.60","12","",
"6184","大豐電","94,300","27","3,128,715","33.20","33.35","33.00","33.30","-","0.10","33.15","1","33.40","32","9.05",
"9902","台火","1,216,178","286","8,812,608","7.10","7.61","7.09","7.18","-","0.43","7.18","7","7.20","25","",
"9904","寶成","15,245,655","2,997","413,721,305","27.30","27.50","26.80","27.00","-","0.50","27.00","101","27.10","118","10.47",
"9905","大華","375,147","101","6,021,386","16.10","16.20","15.90","16.10","-","0.10","16.10","56","16.20","1","10.81",
"9907","統一實","6,238,227","958","47,865,728","7.50","7.80","7.50","7.65"," ","0.00","7.65","103","7.70","3","",
"9910","豐泰","53,875","39","1,818,812","33.20","34.00","33.20","33.70","-","0.35","33.70","2","33.85","1","13.64",
"9911","櫻花","1,284,951","219","7,720,246","6.00","6.09","5.91","6.00","-","0.01","6.00","62","6.01","164","",
"9914","美利達","3,936,154","759","89,979,359","23.00","23.05","22.80","22.85","-","0.65","22.80","6","22.85","225","8.40",
"9915","億豐","454,928","168","19,263,832","42.50","42.55","42.00","42.30","-","0.50","42.30","30","42.45","1","11.37",
"9917","中保科","170,692","119","9,977,599","59.00","59.30","58.10","58.70","-","0.90","58.50","4","58.70","19","17.57",
"9919","康那香","1,210,017","245","16,985,583","14.10","14.15","13.95","14.05","-","0.25","14.00","201","14.05","9","14.05",
"9921","巨大","1,112,968","341","64,840,948","59.50","59.50","57.50","58.20","-","1.30","58.20","18","58.40","58","12.30",
"9922","優美","64,999","13","83,687","1.29","1.29","1.29","1.29","+","0.08","1.29","77","--","0","",
"9924","福興","553,549","227","20,440,586","36.95","37.10","36.70","36.70","-","0.25","36.70","11","36.85","2","4.84",
"9925","新保","203,728","120","5,823,332","28.20","28.70","28.20","28.65","+","0.05","28.65","1","28.70","8","10.98",
"9927","泰銘","13,066,983","3,138","370,166,166","27.50","29.10","27.50","28.40","+","0.95","28.40","32","28.45","13","9.53",
"9928","中視","734,374","160","7,736,100","10.40","11.00","10.30","10.50"," ","0.00","10.45","8","10.50","19","",
"9929","秋雨","12,407,438","951","78,685,944","6.00","6.42","5.98","6.42","+","0.42","6.41","45","6.42","449","40.13",
"9930","中聯資源","366,507","136","10,467,998","28.30","28.75","28.30","28.50"," ","0.00","28.50","18","28.60","6","8.26",
"9933","中鼎","10,104,606","2,478","193,313,255","18.60","19.60","18.50","18.55","+","0.20","18.55","56","18.60","55","11.82",
"9934","成霖","424,998","147","14,034,032","33.00","33.20","32.80","33.10","+","0.20","33.10","1","33.15","3","22.21",
