"094年09月05日每日收盤行情(生技醫療業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1701","中化","1,896,795","487","18,360,036","10.00","10.00","9.42","9.57","-","0.43","9.57","2","9.58","50","159.50",
"1707","葡萄王","193,228","45","1,684,068","8.77","8.77","8.69","8.70","-","0.07","8.70","7","8.73","77","13.18",
"1716","永信","1,432,860","392","38,162,371","27.20","27.20","26.30","26.55","-","0.65","26.55","11","26.65","3","10.62",
"1720","生達","856,042","260","15,873,877","18.65","18.70","18.40","18.40","-","0.25","18.35","12","18.50","11","10.34",
"1729","必翔","586,000","45","37,641,900","64.30","64.60","64.00","64.10","-","0.40","64.00","51","64.10","13","18.21",
"1731","美吾華","35,320","17","385,084","10.85","10.95","10.85","10.95"," ","0.00","10.90","1","10.95","13","20.66",
"1733","五鼎","289,905","106","6,615,446","23.10","23.20","22.55","23.20","+","0.10","22.65","1","23.20","1","14.41",
"1734","杏輝","127,437","59","2,528,969","19.90","19.95","19.70","19.95"," ","0.00","19.80","8","19.95","34","12.24",
"1736","喬山","94,000","60","9,659,500","103.50","103.50","102.00","103.00"," ","0.00","103.00","1","103.50","8","13.22",
"4106","雃博","27,100","20","397,080","14.80","14.80","14.60","14.60","-","0.10","14.55","12","14.85","1","8.69",
"4119","旭富","4,000","3","64,500","16.10","16.20","16.10","16.20","+","0.20","16.10","5","16.20","7","15.58",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

