"094年10月19日每日收盤行情(油電燃氣業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2616","山隆","104,066","34","1,414,056","13.60","13.70","13.50","13.70","-","0.10","13.45","6","13.70","3","8.90",
"6505","台塑化","6,735,736","1,195","411,355,659","61.10","61.40","60.80","61.20","-","0.30","61.20","314","61.30","25","8.56",
"8926","台汽電","169,144","71","1,998,511","11.95","11.95","11.75","11.80","-","0.15","11.80","2","11.85","2","8.68",
"9908","大台北","126,000","68","1,526,500","12.15","12.25","12.05","12.20","+","0.05","12.05","62","12.20","3","13.12",
"9918","欣天然","57,001","34","1,064,818","18.60","19.70","18.50","19.50","+","0.85","18.75","1","19.50","7","14.66",
"9926","新海","7,000","4","98,800","14.15","14.15","14.05","14.05","-","0.10","14.05","2","14.15","8","21.95",
"9931","欣高","0","0","0","--","--","--","--"," ","0.00","11.00","20","11.40","12","17.46",
"9937","全國","117,775","85","2,787,169","23.50","23.80","23.45","23.80","+","0.30","23.50","45","23.80","48","14.17",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

