"094年06月08日每日收盤行情(半導體業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2302","麗正","1,690,277","303","8,025,185","4.68","4.84","4.68","4.76","+","0.11","4.75","35","4.76","4","",
"2303","聯電","156,004,217","21,647","3,596,220,803","22.80","23.30","22.75","23.20","+","0.50","23.15","1","23.20","4,121","15.57",
"2311","日月光","33,159,054","5,570","793,708,203","23.95","24.20","23.75","23.75","-","0.20","23.75","170","23.80","110","39.58",
"2325","矽品","13,027,244","2,567","393,278,380","29.80","30.55","29.75","30.40","+","0.75","30.35","61","30.40","61","15.67",
"2329","華泰","7,375,620","872","25,529,826","3.28","3.58","3.28","3.50","+","0.12","3.50","129","3.51","110","",
"2330","台積電","71,191,414","9,736","4,132,975,633","57.70","58.50","57.70","58.20","+","0.70","58.20","803","58.30","898","14.96",
"2337","旺宏","38,661,247","4,587","206,198,488","5.30","5.40","5.26","5.32","+","0.12","5.31","164","5.32","318","",
"2338","光罩","636,410","180","9,207,031","14.30","14.55","14.30","14.45","+","0.10","14.45","6","14.50","3","7.94",
"2342","茂矽","17,039,952","2,986","183,900,431","10.90","11.10","10.45","10.95","+","0.05","10.95","82","11.00","258","3.43",
"2344","華邦電","28,779,401","3,661","298,618,603","10.40","10.50","10.20","10.40","+","0.10","10.40","1,098","10.45","686","41.60",
"2351","順德","3,998,000","661","49,490,600","11.50","12.65","11.50","12.45","+","0.60","12.40","28","12.45","54","8.41",
"2363","矽統","39,623,795","5,739","689,486,417","17.40","17.60","17.25","17.35","-","0.05","17.35","1,756","17.40","544","",
"2369","菱生","2,577,910","561","31,582,649","12.15","12.35","12.15","12.20","+","0.05","12.15","131","12.20","9","20.68",
"2379","瑞昱","13,063,148","3,943","439,234,413","32.70","34.20","32.70","33.90","+","1.30","33.90","84","34.00","89","17.56",
"2388","威盛","63,214,371","11,430","1,470,255,840","22.95","23.55","22.95","23.25"," ","0.00","23.20","584","23.25","1,057","",
"2401","凌陽","8,283,072","2,035","365,157,243","43.70","44.40","43.70","44.00","+","0.30","44.00","405","44.10","24","16.42",
"2408","南亞科","48,028,077","7,172","1,129,638,786","23.85","23.90","23.35","23.55","-","0.20","23.55","1,652","23.60","85","12.14",
"2434","統懋","174,000","17","1,977,600","11.40","11.40","11.20","11.25"," ","0.00","11.25","2","11.30","4","12.23",
"2436","偉詮電","5,149,245","1,198","71,355,183","13.70","14.10","13.60","13.90","+","0.35","13.75","12","13.90","26","",
"2441","超豐","4,791,949","851","154,694,507","32.20","32.55","32.05","32.45","+","0.30","32.45","12","32.50","252","8.03",
"2446","全懋","12,567,991","2,494","406,466,524","32.20","32.80","31.70","32.30","+","0.20","32.30","45","32.35","1","201.88",
"2449","京元電子","12,344,031","2,434","356,181,312","28.60","29.30","28.40","29.30","+","0.70","29.10","50","29.30","159","11.06",
"2451","創見","1,470,400","651","124,055,494","85.00","85.00","83.50","84.50","-","0.90","84.50","3","84.60","3","13.70",
"2454","聯發科","8,991,833","4,625","2,475,857,634","267.50","279.50","267.50","279.50","+","12.00","279.00","3","279.50","74","16.58",
"2458","義隆","1,542,977","514","24,179,218","15.50","15.80","15.50","15.70","+","0.20","15.70","44","15.75","13","13.31",
"2473","思源","1,020,211","399","66,283,802","64.80","65.30","64.50","65.00","+","0.20","64.90","5","65.00","34","13.05",
"2481","強茂","5,780,000","1,108","103,397,050","17.50","18.10","17.50","17.60","+","0.25","17.55","68","17.75","25","20.95",
"3006","晶豪科","2,941,123","1,241","175,367,978","59.50","60.20","59.20","59.60","+","0.10","59.60","8","59.70","59","13.13",
"3014","聯陽","1,967,438","604","35,721,855","17.40","18.50","17.40","18.50","+","1.20","18.50","308","--","0","29.37",
"3016","嘉晶","89,000","22","1,181,450","13.20","13.60","12.80","12.80","-","0.10","12.80","3","12.95","1","11.23",
"3034","聯詠","7,126,334","3,433","1,033,942,556","142.00","147.00","142.00","146.50","+","6.00","146.00","9","146.50","40","15.31",
"3035","智原","1,167,736","615","72,517,156","62.00","62.90","61.50","62.00","+","0.30","62.00","1","62.10","2","12.35",
"3041","揚智","15,600,592","2,601","485,793,887","29.90","32.15","29.10","32.15","+","2.10","32.15","319","--","0","",
"3054","立萬利","99,000","13","883,850","8.60","9.15","8.60","8.80","+","0.20","8.80","5","9.00","1","",
"3063","飛信","4,118,177","1,221","112,981,931","27.70","27.75","27.10","27.55","+","0.25","27.55","51","27.60","18","13.84",
"3189","景碩","2,300,100","849","172,347,123","73.60","75.90","73.20","75.00","+","1.40","75.00","29","75.10","25","13.04",
"3271","其樂達","562,000","282","21,820,200","38.30","39.20","38.30","38.80","+","0.60","38.75","3","38.80","14","18.65",
"5305","敦南","3,280,603","677","84,967,250","26.00","26.10","25.75","25.80"," ","0.00","25.80","34","25.90","25","10.24",
"5471","松翰","350,989","201","12,308,240","34.50","35.70","34.50","35.50","+","1.00","35.45","25","35.50","7","10.00",
"6202","盛群","1,274,929","512","45,222,923","34.30","35.95","34.30","35.95","+","1.75","35.95","1","36.00","94","9.59",
"6239","力成","2,683,369","1,001","269,172,046","99.90","101.00","99.30","101.00","+","2.00","100.50","49","101.00","49","11.27",
"6257","矽格","728,938","264","13,957,382","19.00","19.40","18.90","19.20","+","0.35","19.20","57","19.25","6","9.46",
"6286","立錡","4,027,436","1,743","427,204,659","104.00","108.00","103.00","107.00","+","4.00","107.00","263","107.50","43","18.26",
"8016","矽創","2,414,002","1,243","232,484,787","95.20","96.90","94.50","96.20","+","1.80","96.20","10","96.50","14","14.36",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

