"095年07月19日每日收盤行情(電腦及週邊設備業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2301","光寶科","6,935,114","2,357","304,580,358","43.90","44.55","43.20","43.25","+","0.15","43.25","152","44.00","4","12.36",
"2305","全友","106,082","41","366,453","3.50","3.50","3.42","3.42","-","0.03","3.42","13","3.45","3","",
"2315","神達","7,596,576","2,604","226,559,089","30.10","30.35","29.40","29.60","-","0.20","29.55","8","29.60","16","6.79",
"2324","仁寶","6,394,976","1,447","190,922,130","29.90","30.30","29.50","29.60"," ","0.00","29.60","13","29.65","11","11.89",
"2331","精英","1,158,887","332","20,806,942","17.90","18.15","17.80","17.80"," ","0.00","17.75","1","17.80","21","25.80",
"2336","致伸","1,364,614","360","12,267,435","9.03","9.05","8.92","8.96","-","0.04","8.96","21","8.98","2","7.86",
"2341","英群","2,646,443","778","38,530,376","14.70","14.75","14.40","14.45","-","0.05","14.45","114","14.50","9","",
"2352","佳世達","11,983,805","2,797","213,250,658","17.95","18.15","17.50","17.55","-","0.25","17.55","85","17.60","188","",
"2353","宏碁","14,646,472","5,424","683,414,685","47.00","47.65","45.80","45.90","-","1.10","45.90","128","46.00","110","10.00",
"2356","英業達","7,410,483","1,391","142,987,727","19.00","19.55","18.95","19.00","-","0.05","19.00","21","19.05","27","11.31",
"2357","華碩","10,786,309","3,154","811,564,675","74.50","75.70","74.50","75.00","+","1.00","74.90","66","75.00","44","13.59",
"2361","鴻友","1,360,195","266","4,118,675","3.01","3.09","3.00","3.01","+","0.01","3.01","93","3.06","8","",
"2362","藍天","4,365,937","1,143","57,408,629","13.00","13.30","12.95","13.00","+","0.15","13.00","299","13.10","45","",
"2364","倫飛","477,770","103","1,433,012","3.05","3.05","2.96","2.96","-","0.04","2.95","28","2.96","8","",
"2365","昆盈","910,793","306","25,981,038","28.45","29.00","28.00","28.30","-","0.20","28.30","2","28.40","20","8.04",
"2376","技嘉","3,128,967","950","63,393,289","20.45","20.60","19.80","19.80","-","0.60","19.80","35","19.85","5","10.88",
"2377","微星","2,456,020","839","43,507,993","17.80","17.90","17.50","17.50","-","0.25","17.50","282","17.60","110","20.35",
"2380","虹光","3,002,227","902","69,428,924","23.20","23.50","22.80","23.40","+","0.20","23.35","14","23.40","17","6.90",
"2381","華宇","8,121,722","1,399","58,856,945","7.09","7.35","7.09","7.23","+","0.17","7.22","15","7.23","22","",
"2382","廣達","3,993,211","1,295","185,711,556","47.20","47.20","46.00","46.00","-","0.60","46.00","65","46.30","3","12.89",
"2387","精元","835,105","214","28,877,695","35.20","35.20","34.20","34.25","-","0.75","34.25","1","34.30","8","10.77",
"2395","研華","1,181,485","520","113,308,660","95.00","96.50","93.50","96.00","+","2.50","96.00","71","96.10","15","16.64",
"2397","友通","233,600","87","12,359,180","53.00","53.20","52.10","52.80","-","0.10","52.50","6","52.80","19","12.54",
"2399","映泰","3,892,910","744","59,696,122","14.80","15.60","14.65","15.50","+","0.90","15.50","123","15.55","44","6.92",
"2405","浩鑫","569,203","150","5,705,939","10.00","10.15","9.90","9.91","+","0.01","9.91","2","10.00","11","21.54",
"2417","圓剛","974,623","483","31,152,897","32.00","32.50","31.50","31.50","-","0.10","31.50","17","31.60","4","12.12",
"2424","隴華","346,000","98","1,760,080","5.08","5.14","5.07","5.09","+","0.02","5.09","6","5.12","5","",
"2425","承啟","322,465","106","2,552,044","7.89","8.10","7.70","7.90","+","0.09","7.90","19","8.00","20","",
"2442","新美齊","59,000","27","433,640","7.11","7.50","7.11","7.35","+","0.24","7.28","17","7.37","3","15.98",
"2463","研揚","52,453","29","1,346,865","25.65","25.85","25.45","25.50"," ","0.00","25.45","1","25.50","1","16.14",
"2465","麗臺","1,051,759","306","7,428,925","7.20","7.28","6.95","7.00","-","0.18","7.00","16","7.01","120","",
"3002","歐格","439,000","137","10,868,950","24.75","25.10","24.65","24.90","+","0.30","24.90","4","24.95","16","10.25",
"3005","神基","938,295","327","11,054,341","11.75","11.85","11.70","11.75"," ","0.00","11.75","30","11.80","21","5.37",
"3013","晟銘電","1,072,218","143","11,210,016","10.50","10.50","10.30","10.45","-","0.05","10.40","2","10.45","2","69.67",
"3017","奇鋐","1,530,012","435","23,938,786","15.10","15.80","14.80","15.80","+","1.00","15.80","445","--","0","",
"3022","威強電","288,250","110","7,397,375","26.10","26.20","25.50","25.50","-","0.45","25.50","68","25.70","10","8.31",
"3046","建碁","475,765","151","2,986,323","6.07","6.29","6.07","6.29","+","0.41","6.23","20","--","0","",
"3057","喬鼎","638,598","175","7,715,254","12.10","12.25","11.95","11.95","-","0.05","11.90","35","11.95","1","",
"3060","銘異","79,027","53","3,029,473","38.60","38.60","38.10","38.45","-","0.25","38.20","2","38.45","2","9.27",
"3231","緯創","5,731,500","1,098","199,076,843","34.60","35.05","34.25","34.75","+","0.30","34.75","46","34.80","144","10.13",
"3701","大眾控","269,265","39","554,046","2.01","2.12","2.01","2.12","+","0.10","2.05","6","2.12","2","",
"6117","迎廣","77,000","32","1,072,400","13.90","14.00","13.80","13.95"," ","0.00","13.90","21","14.00","31","39.86",
"6128","上福","253,000","135","6,984,900","27.40","27.95","27.20","27.50"," ","0.00","27.50","9","27.60","1","12.79",
"6166","凌華","332,000","118","10,560,800","32.00","32.00","31.50","31.65","-","0.05","31.65","6","31.70","10","8.84",
"6172","互億","108,497","40","1,077,180","10.10","10.10","9.90","9.95"," ","0.00","9.91","1","9.95","8","15.31",
"6206","飛捷","200,000","130","11,658,500","57.80","58.80","57.80","57.90","+","0.10","57.90","8","58.10","2","9.63",
"6235","華孚","703,200","174","16,923,690","24.10","24.35","23.70","23.70","-","0.30","23.70","37","24.00","9","19.59",
