"095年08月25日每日收盤行情(光電業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2323","中環","4,151,799","798","33,626,703","8.04","8.15","8.04","8.08","+","0.04","8.08","845","8.09","33","",
"2340","光磊","10,815,057","2,470","149,391,911","13.80","14.05","13.45","13.50","-","0.05","13.50","67","13.55","20","",
"2349","錸德","2,926,221","645","21,060,201","7.18","7.26","7.15","7.15","-","0.03","7.15","313","7.17","8","",
"2374","佳能","8,085,046","2,222","171,539,958","21.30","21.40","21.00","21.00","+","0.15","21.00","1,138","21.05","20","9.05",
"2384","勝華","6,210,246","2,143","173,446,074","28.00","28.20","27.60","27.65","-","0.05","27.65","83","27.70","41","5.59",
"2393","億光","7,099,447","3,182","606,100,707","85.00","86.80","83.70","83.70"," ","0.00","83.60","10","83.70","10","16.07",
"2396","精碟","1,884,643","314","4,737,726","2.52","2.54","2.49","2.52"," ","0.00","2.50","14","2.52","26","",
"2406","國碩","854,823","139","4,467,428","5.25","5.27","5.18","5.18","-","0.10","5.18","41","5.22","4","",
"2409","友達","23,289,556","5,881","1,103,537,032","47.80","48.05","47.00","47.00","-","0.65","47.00","3,873","47.05","166","11.75",
"2426","鼎元","6,138,598","2,304","153,675,307","25.25","25.55","24.40","24.50","-","0.60","24.50","33","24.55","18","21.30",
"2438","翔耀","1,518,510","315","13,855,598","9.21","9.28","9.08","9.09","-","0.11","9.09","4","9.10","302","9.18",
"2448","晶電","6,951,943","3,256","671,873,677","97.90","99.00","94.60","94.60","-","1.70","94.60","25","94.70","11","40.26",
"2466","冠西電","246,375","70","5,878,998","24.00","24.00","23.70","23.80","-","0.05","23.75","5","23.80","16","27.67",
"2475","華映","20,636,173","2,861","137,891,537","6.70","6.76","6.60","6.60","-","0.10","6.60","443","6.63","14","",
"2486","一詮","1,753,085","859","55,508,770","31.80","32.20","31.00","31.00","-","0.45","31.00","41","31.15","3","15.82",
"2489","瑞軒","6,104,032","1,820","132,472,267","21.70","22.00","21.30","21.30","-","0.35","21.30","104","21.40","5","16.14",
"2499","東貝","751,183","287","20,035,285","26.80","26.90","26.50","26.55","-","0.25","26.55","34","26.70","11","21.07",
"3008","大立光","1,420,486","1,201","937,112,816","660.00","666.00","652.00","656.00"," ","0.00","656.00","8","657.00","1","33.83",
"3009","奇美電","17,355,794","4,483","668,864,465","39.00","39.10","38.15","38.15","-","0.65","38.15","62","38.20","28","14.24",
"3019","亞光","1,931,259","1,019","288,540,720","149.00","151.00","147.50","148.00","+","0.50","148.00","130","148.50","43","13.65",
"3024","憶聲","802,306","243","13,290,180","16.60","16.80","16.50","16.50","-","0.15","16.50","81","16.55","4","7.24",
"3031","佰鴻","1,604,465","783","55,734,721","34.80","35.25","34.10","34.10"," ","0.00","34.05","3","34.10","48","13.07",
"3038","全台","490,092","202","8,117,957","16.55","16.70","16.40","16.50"," ","0.00","16.45","2","16.50","18","8.51",
"3049","和鑫","2,999,619","602","18,417,154","6.18","6.21","6.06","6.08","-","0.07","6.07","146","6.08","4","",
"3050","鈺德","450,130","107","1,891,098","4.27","4.27","4.16","4.16","-","0.08","4.16","80","4.20","1","",
"3051","力特","4,033,639","1,589","111,005,478","27.30","27.90","27.20","27.30","+","0.10","27.30","10","27.35","19","",
"3059","華晶科","5,806,735","2,693","323,659,769","57.00","57.00","55.00","55.20","-","0.80","55.20","84","55.30","10","6.64",
"3061","璨圓","3,557,190","1,385","89,148,335","25.20","25.55","24.40","24.50","-","0.40","24.50","26","24.60","1","",
"3356","奇偶","131,000","94","15,065,500","113.50","115.50","113.50","115.00","+","0.50","115.00","22","115.50","13","11.51",
"3406","玉晶光","336,105","283","49,134,935","145.00","148.00","144.00","144.00"," ","0.00","144.00","6","145.00","2","11.15",
"5484","慧友","449,201","172","10,123,672","22.55","22.70","22.30","22.55","+","0.05","22.50","18","22.55","35","8.91",
"6116","彩晶","14,759,152","1,739","65,391,372","4.44","4.49","4.37","4.37","-","0.07","4.37","355","4.39","142","",
"6131","鈞泰","258,797","109","9,187,943","35.40","35.80","35.30","35.30","-","0.10","35.30","17","35.40","1","7.32",
"6168","宏齊","1,068,048","436","34,997,087","33.00","33.30","32.20","32.20","-","0.30","32.20","20","32.25","3","20.38",
"6209","今國光","609,805","319","37,050,139","59.90","61.80","59.90","60.50","+","0.60","60.40","5","60.50","5","10.32",
"6225","天瀚","12,000","7","84,930","7.02","7.27","7.02","7.27","-","0.08","7.13","1","7.24","2","",
"6289","華上","2,600,344","1,184","93,615,001","36.40","36.60","35.20","35.20","-","0.65","35.20","2","35.30","1","26.47",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

