"094年06月20日每日收盤行情(通信網路業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2314","台揚","2,667,398","730","35,104,934","13.20","13.30","13.05","13.20","+","0.05","13.20","21","13.25","82","21.29",
"2321","東訊","1,669,758","420","25,334,528","15.10","15.40","15.10","15.20","+","0.10","15.15","107","15.20","14","11.18",
"2332","友訊","2,009,690","784","75,686,726","38.00","38.10","37.50","37.55","-","0.55","37.50","134","37.55","22","12.04",
"2345","智邦","5,353,284","906","91,875,037","17.15","17.30","16.95","17.25","+","0.10","17.25","4","17.30","189","",
"2391","合勤","709,158","310","56,701,522","80.50","80.50","79.50","79.90","+","0.20","79.80","7","79.90","54","16.14",
"2412","中華電","3,872,566","754","247,461,465","64.50","64.80","63.60","63.70","-","0.80","63.70","130","63.80","329","12.64",
"2419","仲琦","3,081,300","673","25,227,275","8.17","8.29","8.12","8.14","+","0.05","8.14","3","8.17","5","",
"2432","倚天","1,081,510","357","22,759,252","21.20","21.30","20.90","21.05","-","0.05","21.00","32","21.10","57","23.13",
"2439","美律","537,010","268","44,341,501","81.70","83.10","81.70","82.60","-","0.40","82.50","46","82.60","86","20.60",
"2444","兆勁","2,314,000","486","25,638,700","10.85","11.35","10.85","11.15","+","0.40","11.10","1","11.15","132","",
"2450","神腦","6,328,913","1,987","128,724,215","20.60","20.80","20.00","20.00","-","0.50","20.00","360","20.10","60","66.67",
"2455","全新","228,000","68","1,636,800","7.20","7.26","7.10","7.13","-","0.07","7.13","4","7.20","20","",
"2485","兆赫","2,443,440","860","83,071,073","34.30","34.40","33.70","33.90","-","0.40","33.90","19","33.95","16","29.74",
"2494","廣業科","81,000","11","158,140","1.92","2.00","1.81","1.82","-","0.10","1.82","18","2.00","9","",
"2498","宏達電","3,425,983","1,712","956,592,906","278.00","282.00","276.50","277.00","-","1.00","277.00","8","278.00","107","16.96",
"3025","星通","367,000","107","4,724,000","12.90","13.00","12.75","12.80","-","0.10","12.80","7","12.85","11","",
"3027","盛達","346,225","167","4,932,816","13.90","14.50","13.90","14.35","+","0.55","14.20","10","14.35","2","9.90",
"3045","台灣大","7,193,581","908","232,732,435","32.30","32.50","32.30","32.50","+","0.20","32.45","17","32.50","484","10.09",
"3047","訊舟","381,000","90","2,721,740","7.33","7.33","7.05","7.12","-","0.21","7.12","1","7.18","3","",
"3062","建漢","5,273,600","1,376","133,055,897","25.50","25.80","24.85","25.05","-","0.25","25.05","103","25.10","20","26.37",
"3311","閎暉","967,002","377","119,930,746","124.00","125.00","122.50","123.00","-","1.00","123.00","53","123.50","3","14.27",
"3380","明泰","531,000","211","14,094,200","26.85","26.85","26.35","26.50"," ","0.00","26.50","129","26.55","6","10.04",
"4906","正文","4,974,049","2,087","327,226,523","67.60","67.70","64.00","65.00","-","2.50","64.90","1","65.00","241","11.07",
"6136","富爾特","940,080","381","25,171,990","26.30","27.20","26.30","26.95","+","0.70","26.95","26","27.00","16","9.20",
"6142","友勁","6,038,636","1,372","262,332,909","43.40","43.95","42.90","43.95","+","0.70","43.85","3","43.95","26","13.08",
"6216","居易","191,244","120","10,343,165","54.60","55.00","53.20","53.50","-","1.00","53.50","1","53.60","1","12.77",
"6285","啟碁","1,955,217","753","160,144,253","83.50","83.50","81.30","82.20","-","1.00","82.10","36","82.20","8","17.20",
"8078","華寶","2,560,700","1,113","241,417,047","93.70","94.80","93.30","93.30","-","0.40","93.30","4","93.70","20","15.52",
"8101","華冠","2,247,651","780","59,380,813","26.45","26.65","26.20","26.50","+","0.30","26.45","49","26.50","21","12.38",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

