"094年01月06日每日收盤行情(電子零組件業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1471","首利","64,000","20","1,283,600","20.00","20.10","20.00","20.00","-","0.10","19.90","25","20.00","5","15.63",
"2308","台達電","3,368,745","853","175,505,102","51.50","53.00","51.00","52.00","+","0.50","52.00","513","52.50","533","13.65",
"2313","華通","12,991,425","2,003","131,262,604","10.30","10.40","10.00","10.10","-","0.20","10.05","770","10.10","11","",
"2316","楠梓電","4,603,464","957","64,002,106","14.10","14.15","13.70","13.80","-","0.30","13.80","167","13.85","207","6.03",
"2327","國巨","18,521,843","2,499","203,226,376","11.15","11.25","10.80","10.85","-","0.25","10.80","1,403","10.85","746","31.91",
"2328","廣宇","2,238,288","496","55,045,460","24.30","24.80","24.30","24.50","+","0.20","24.50","48","24.60","7","14.24",
"2355","敬鵬","423,572","151","8,087,668","19.10","19.20","19.00","19.00","-","0.10","19.00","125","19.10","5","7.48",
"2367","燿華","7,615,105","1,440","84,428,475","11.60","11.70","10.80","10.90","-","0.70","10.90","24","10.95","8","10.09",
"2368","金像電","2,276,001","533","31,280,470","13.90","13.95","13.50","13.80","-","0.20","13.75","10","13.80","18","5.95",
"2375","凱美","1,126,243","232","9,815,524","8.60","8.90","8.55","8.90","+","0.30","8.85","187","8.90","71","18.16",
"2383","台光電","3,556,572","585","33,957,600","9.50","9.90","9.50","9.50","-","0.70","--","0","9.50","1,751","8.19",
"2385","群光","373,306","173","11,800,450","31.70","31.80","31.20","31.60","-","0.10","31.60","71","31.70","40","8.38",
"2392","正崴","595,759","329","37,477,373","63.00","63.50","62.50","63.00","+","0.50","63.00","6","63.50","157","13.61",
"2402","毅嘉","1,717,373","467","70,768,313","41.20","41.20","41.20","41.20","-","3.10","--","0","41.20","5,916","9.56",
"2413","環科","139,631","39","1,596,087","11.40","11.50","11.40","11.45"," ","0.00","11.45","34","11.50","36","20.09",
"2415","錩新","118,010","29","1,224,353","10.40","10.40","10.25","10.40"," ","0.00","10.25","9","10.40","4","7.07",
"2420","新巨","57,761","31","952,239","16.70","16.70","16.30","16.50","-","0.20","16.40","10","16.50","13","9.43",
"2421","建準","159,710","84","2,171,100","13.60","13.70","13.50","13.65","+","0.05","13.60","10","13.65","13","15.51",
"2428","興勤","50,000","20","903,600","18.30","18.30","18.00","18.10","-","0.10","18.00","33","18.10","2","7.94",
"2429","銘旺科","2,459,581","267","5,652,963","2.40","2.42","2.21","2.21","-","0.16","2.21","196","2.28","39","",
"2431","聯昌","111,472","36","861,930","7.75","7.75","7.65","7.70","-","0.05","7.70","1","7.80","9","13.51",
"2437","旺詮","596,708","191","7,588,641","12.70","12.95","12.60","12.65","-","0.05","12.65","10","12.70","8","9.73",
"2440","太空梭","1,146,960","187","4,530,693","3.92","3.98","3.92","3.97","+","0.07","3.96","28","3.97","35","",
"2452","乾坤","84,000","19","1,424,600","17.10","17.10","16.80","16.90","-","0.10","16.90","13","17.00","17","9.18",
"2456","奇力新","4,469,000","694","61,066,600","13.40","13.85","13.25","13.25","+","0.30","13.25","1","13.35","10","9.74",
"2457","飛宏","7,645,631","1,465","76,183,776","10.30","10.40","9.65","10.30"," ","0.00","10.20","6","10.30","241","6.32",
"2460","建通","105,200","48","2,382,916","22.90","22.90","22.50","22.50","-","0.20","22.50","19","22.60","5","7.33",
"2462","良得電","70,000","13","777,250","11.00","11.15","11.00","11.10"," ","0.00","11.10","2","11.15","2","6.61",
"2467","志聖","595,187","199","11,022,836","18.50","18.70","18.30","18.70","+","0.20","18.40","30","18.70","33","9.95",
"2469","力信","526,946","162","6,852,911","13.30","13.40","12.80","12.90","-","0.45","12.90","45","13.00","5","12.06",
"2472","立隆電","5,504,018","709","65,255,054","11.65","12.15","11.40","11.40"," ","0.00","11.35","46","11.40","203","18.10",
"2476","鉅祥","203,000","55","4,020,300","19.90","19.90","19.60","19.60","-","0.30","19.60","2","19.90","9","12.10",
"2478","大毅","660,212","171","12,178,379","18.40","18.70","18.20","18.20","-","0.20","18.20","31","18.30","9","7.84",
"2483","百容","46,400","25","806,824","17.40","17.50","17.30","17.30","-","0.10","17.30","14","17.40","7","15.59",
"2484","希華","292,401","117","4,332,475","14.95","15.10","14.65","14.65","-","0.25","14.65","13","14.80","2","11.02",
"2492","華新科","2,797,040","751","51,119,332","18.40","18.70","18.00","18.00","-","0.40","18.00","187","18.10","22","13.64",
"2493","揚博","99,000","36","1,260,250","12.85","12.85","12.65","12.80","-","0.05","12.65","15","12.85","8","9.77",
"3003","健和興","93,000","36","2,622,700","28.30","28.50","28.00","28.10","-","0.20","28.10","2","28.30","12","9.34",
"3011","今皓","1,901,409","647","40,348,949","22.00","22.00","20.80","21.20","-","0.80","21.10","1","21.20","42","17.82",
"3015","全漢","356,424","152","14,334,475","39.90","40.50","39.90","40.50","+","0.50","40.50","10","40.60","15","8.23",
"3023","信邦","188,352","84","5,444,231","28.80","29.00","28.80","28.80"," ","0.00","28.80","40","28.90","3","7.25",
"3026","禾伸堂","663,091","312","26,828,635","40.70","41.00","39.90","40.10","-","0.60","40.10","13","40.20","5","10.26",
"3032","偉訓","782,095","250","15,220,833","19.50","19.60","19.40","19.40","-","0.10","19.40","397","19.50","58","15.28",
"3037","欣興","5,543,995","917","120,275,465","21.90","22.10","21.50","21.50","-","0.40","21.50","179","21.60","908","9.39",
"3042","晶技","777,961","229","12,520,478","16.20","16.30","15.90","15.90","-","0.30","15.90","29","16.00","2","10.00",
"3044","健鼎","574,877","213","25,317,105","43.60","44.40","43.60","43.90","+","0.50","43.80","14","43.90","12","11.14",
"3058","立德","80,000","19","658,150","8.25","8.30","8.15","8.15","-","0.20","8.15","1","8.20","1","",
"5469","瀚宇博","1,452,086","298","40,051,612","27.50","27.90","27.20","27.30","-","0.20","27.30","31","27.40","85","7.02",
"6115","鎰勝","138,000","58","3,491,200","25.50","25.50","25.00","25.00","-","0.60","25.00","50","25.30","1","7.42",
"6133","金橋","66,000","31","1,447,800","22.00","22.20","21.80","22.20","-","0.10","22.20","5","22.30","22","14.23",
"6141","柏承","219,685","72","5,576,578","25.50","25.60","25.20","25.30","-","0.20","25.30","1","25.40","13","7.91",
"6165","捷泰","81,220","34","849,044","10.50","10.50","10.45","10.50"," ","0.00","10.45","11","10.50","12","15.22",
"6197","佳必琪","140,747","103","6,411,783","45.90","46.00","45.10","45.10","-","0.80","45.10","12","45.40","1","8.21",
"6269","台郡","540,000","217","12,043,900","22.40","22.70","22.10","22.20","-","0.30","22.10","102","22.20","1","8.04",
"6282","康舒","239,100","71","7,041,584","29.50","29.60","29.20","29.20","-","0.30","29.20","18","29.30","9","7.64",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

