"094年08月04日每日收盤行情(電子通路業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2347","聯強","2,520,290","760","116,394,530","46.00","46.60","45.80","46.20","+","0.40","46.20","19","46.25","4","15.45",
"2403","友尚","1,718,000","625","31,897,400","18.50","18.70","18.35","18.55","X","0.00","18.55","23","18.60","2","14.61",
"2414","精技","2,499,008","593","40,506,931","16.40","16.40","16.00","16.20","-","0.30","16.20","21","16.25","6","10.80",
"2430","燦坤","341,876","220","15,842,944","46.10","46.65","46.00","46.50","+","0.50","46.30","15","46.50","13","10.38",
"2459","敦吉","4,371,984","1,342","184,187,456","40.50","42.65","40.10","42.65","+","2.75","42.65","654","--","0","12.22",
"3010","華立","14,025,739","5,850","890,864,342","61.00","65.40","60.70","64.30","+","3.10","64.30","67","64.40","25","11.93",
"3020","奇普仕","363,241","90","5,008,920","13.95","13.95","13.60","13.85","-","0.10","13.65","26","13.85","18","115.42",
"3028","增你強","342,044","119","6,315,414","18.70","18.70","18.40","18.40","-","0.20","18.40","123","18.50","4","11.72",
"3033","威健","309,287","81","5,231,002","16.90","16.95","16.85","16.95","+","0.15","16.90","10","16.95","23","9.16",
"3036","文曄","615,941","189","13,157,271","21.55","21.60","21.20","21.20","-","0.20","21.20","6","21.35","6","8.31",
"3048","益登","3,493,352","687","98,870,283","28.10","28.60","27.80","28.50","+","0.40","28.10","12","28.50","100","10.56",
"3055","蔚華科","3,004,011","1,055","115,539,329","39.60","39.60","37.80","38.05","-","1.35","38.05","16","38.10","1","7.70",
"5434","崇越","4,505,031","1,578","523,553,686","116.00","116.50","115.00","116.50","+","7.50","116.50","1,127","--","0","30.34",
"6119","大傳","309,619","106","6,844,532","21.75","22.60","21.65","22.60","+","0.95","22.60","4","22.65","4","9.83",
"6145","勁永","3,413,159","995","49,304,345","13.80","14.65","13.60","14.65","+","0.95","14.65","78","--","0","",
"6189","豐藝","1,956,437","750","71,377,217","36.50","37.00","35.70","36.90","+","0.90","36.80","6","36.95","7","11.64",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

