"094年09月05日每日收盤行情(資訊服務業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2427","三商電","265,320","79","2,317,323","8.73","8.78","8.70","8.70"," ","0.00","8.70","61","8.72","6","",
"2447","鼎新","89,400","47","2,351,443","26.50","26.50","26.20","26.30","-","0.20","26.30","8","26.40","3","11.95",
"2453","凌群","49,000","27","451,030","9.18","9.24","9.15","9.24","+","0.06","9.16","10","9.24","3","",
"2468","華經","112,824","50","901,994","8.19","8.19","7.86","8.00","-","0.02","7.93","3","8.00","4","12.70",
"2471","資通","65,000","25","652,290","10.35","10.35","9.95","10.15","-","0.10","10.15","5","10.20","9","",
"2480","敦陽科","1,427,390","396","20,680,981","14.60","14.70","14.30","14.55","-","0.05","14.50","10","14.60","75","8.82",
"3029","零壹","70,000","22","855,200","12.50","12.50","12.10","12.20","-","0.30","12.10","11","12.20","14","33.89",
"5203","訊連","490,215","281","43,621,453","90.00","90.00","88.40","88.90","-","1.10","88.70","1","88.90","1","11.43",
"6112","聚碩","328,000","60","3,515,550","10.70","10.85","10.60","10.80"," ","0.00","10.65","3","10.80","17","28.42",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

