"095年03月08日每日收盤行情(其他電子業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2312","金寶","2,090,882","533","25,328,952","12.10","12.25","12.05","12.10","+","0.05","12.10","114","12.15","150","12.22",
"2317","鴻海","22,815,619","8,333","4,570,693,475","202.00","203.50","199.00","199.50","-","5.50","199.50","724","200.00","8","22.39",
"2350","環電","1,277,539","303","13,736,803","10.80","10.90","10.65","10.75"," ","0.00","10.75","60","10.80","12","13.61",
"2354","鴻準","4,247,266","2,268","733,821,486","176.50","177.50","169.50","171.00","-","4.00","170.50","59","171.00","149","31.55",
"2359","所羅門","1,286,674","141","7,716,238","6.00","6.09","5.99","5.99","-","0.11","5.99","355","6.00","1","",
"2360","致茂","5,454,758","1,150","166,314,012","31.80","31.80","30.15","30.20","-","1.30","30.15","141","30.20","28","14.80",
"2373","震旦行","53,132","35","977,910","18.50","18.50","18.40","18.50"," ","0.00","18.40","5","18.50","18","14.92",
"2390","云辰","121,587","49","682,447","5.61","5.63","5.59","5.59","-","0.02","5.55","10","5.59","19","",
"2404","漢唐","267,548","131","6,330,301","23.50","23.95","23.50","23.65","-","0.15","23.65","43","23.75","2","6.90",
"2411","飛瑞","3,345,649","1,251","104,099,374","30.50","31.75","30.00","31.55","+","1.85","31.50","6","31.55","12","12.37",
"2423","固緯","10,720","11","174,235","16.20","16.50","16.10","16.50","-","0.10","16.10","4","16.60","8","13.52",
"2433","互盛電","9,300","8","120,240","12.85","13.00","12.85","12.85"," ","0.00","12.75","10","12.90","4","8.51",
"2461","光群雷","226,500","59","3,334,548","14.75","14.90","14.60","14.70","-","0.05","14.70","5","14.75","15","32.67",
"2464","盟立","1,954,546","741","66,144,967","34.30","34.50","33.55","33.75","-","0.55","33.75","9","33.90","31","12.55",
"2474","可成","8,397,476","4,738","2,389,682,296","286.00","290.00","278.50","290.00","+","4.00","289.00","14","290.00","775","26.83",
"2477","美隆電","398,379","135","7,710,250","19.40","19.60","19.10","19.40","+","0.10","19.40","20","19.45","3","15.65",
"2482","連宇","19,000","13","321,750","16.90","17.15","16.80","16.95","+","0.10","16.90","6","16.95","3","7.85",
"2488","漢平","59,000","23","868,500","14.90","14.90","14.65","14.65","-","0.05","14.65","5","14.75","5","8.01",
"2495","普安","379,000","193","16,601,147","43.75","44.00","43.60","43.80","+","0.05","43.80","27","43.85","5","8.46",
"3018","同開","90,042","41","866,580","9.70","9.80","9.50","9.63","-","0.07","9.56","33","9.63","6","13.19",
"3030","德律","267,767","96","9,668,762","36.40","36.40","36.00","36.35","-","0.05","36.35","25","36.40","39","17.56",
"3043","科風","1,350,298","668","72,904,326","54.00","54.40","53.50","53.90","+","0.20","53.90","9","54.10","11","15.40",
"3367","英華達","1,021,223","737","214,045,884","214.50","214.50","207.00","208.00","-","6.50","208.00","3","208.50","11","27.26",
"6139","亞翔","379,072","214","21,654,204","57.20","57.80","57.00","57.00","-","0.20","57.00","34","57.20","7","8.61",
"6192","巨路","133,156","60","4,130,604","31.50","31.50","30.80","31.10","-","0.10","30.90","5","31.10","1","12.54",
"6196","帆宣","2,459,356","1,090","79,729,698","32.25","33.50","31.35","33.00","+","0.85","32.95","1","33.00","8","7.53",
"6201","亞弘電","155,150","68","4,430,875","28.80","28.80","28.30","28.80"," ","0.00","28.80","7","28.85","1","10.11",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

